Date,Currency,Maturity,SwapRate
2019-06-28,DK,1,-0.2879
2019-07-31,DK,1,-0.3195
2019-08-30,DK,1,-0.4085
2019-09-30,DK,1,-0.34
2019-10-31,DK,1,-0.2819
2019-11-29,DK,1,-0.2422
2019-12-31,DK,1,-0.217
2020-01-31,DK,1,-0.265
2020-02-28,DK,1,-0.3109
2020-03-31,DK,1,-0.0333
2020-04-30,DK,1,-0.0739
2020-05-29,DK,1,-0.05
2020-06-30,DK,1,-0.0955
2020-07-31,DK,1,-0.1016
2020-08-31,DK,1,-0.1215
2020-09-30,DK,1,-0.1375
2020-10-30,DK,1,-0.178
2020-11-30,DK,1,-0.1383
2020-12-31,DK,1,-0.1505
2021-01-29,DK,1,-0.1585
2021-02-26,DK,1,-0.1045
2021-03-31,DK,1,-0.139
2021-04-30,DK,1,-0.1375
2021-05-31,DK,1,-0.1257
2021-06-30,DK,1,-0.1198
2021-07-30,DK,1,-0.1384
2021-08-31,DK,1,-0.1337
2021-09-30,DK,1,-0.1519
2021-10-29,DK,1,-0.1295
2021-11-30,DK,1,-0.1766
2021-12-31,DK,1,-0.1741
2022-01-31,DK,1,-0.1089
2022-02-28,DK,1,-0.0397
2022-03-31,DK,1,0.2128
2022-04-29,DK,1,0.5517
2022-05-31,DK,1,0.7918
2022-06-30,DK,1,1.176
2022-07-29,DK,1,1.2355
2022-08-31,DK,1,2.1768
2022-09-30,DK,1,2.7836
2022-10-31,DK,1,2.8798
2022-11-30,DK,1,2.9688
2022-12-30,DK,1,3.4748
2010-01-29,EU,1,1.1995
2010-02-26,EU,1,1.0898
2010-03-31,EU,1,1.085
2010-04-30,EU,1,1.135
2010-05-31,EU,1,1.1145
2010-06-30,EU,1,1.172
2010-07-30,EU,1,1.207
2010-08-31,EU,1,1.1455
2010-09-30,EU,1,1.28
2010-10-29,EU,1,1.3928
2010-11-30,EU,1,1.361
2010-12-31,EU,1,1.311
2011-01-31,EU,1,1.5825
2011-02-28,EU,1,1.6735
2011-03-31,EU,1,1.883
2011-04-29,EU,1,1.9555
2011-05-31,EU,1,1.909
2011-06-30,EU,1,1.973
2011-07-29,EU,1,1.8635
2011-08-31,EU,1,1.618
2011-09-30,EU,1,1.593
2011-10-31,EU,1,1.596
2011-11-30,EU,1,1.495
2011-12-30,EU,1,1.42
2012-01-31,EU,1,1.242
2012-02-29,EU,1,1.1455
2012-03-30,EU,1,1.031
2012-04-30,EU,1,0.925
2012-05-31,EU,1,0.887
2012-06-29,EU,1,0.853
2012-07-31,EU,1,0.605
2012-08-31,EU,1,0.494
2012-09-28,EU,1,0.409
2012-10-31,EU,1,0.401
2012-11-30,EU,1,0.353
2012-12-31,EU,1,0.326
2013-01-31,EU,1,0.512
2013-02-28,EU,1,0.355
2013-03-29,EU,1,0.408
2013-04-30,EU,1,0.328
2013-05-31,EU,1,0.33
2013-06-28,EU,1,0.438
2013-07-31,EU,1,0.409
2013-08-30,EU,1,0.442
2013-09-30,EU,1,0.415
2013-10-31,EU,1,0.385
2013-11-29,EU,1,0.353
2013-12-31,EU,1,0.414
2014-01-31,EU,1,0.378
2014-02-28,EU,1,0.394
2014-03-31,EU,1,0.412
2014-04-30,EU,1,0.4108
2014-05-30,EU,1,0.355
2014-06-30,EU,1,0.289
2014-07-31,EU,1,0.308
2014-08-29,EU,1,0.247
2014-09-30,EU,1,0.175
2014-10-31,EU,1,0.193
2014-11-28,EU,1,0.182
2014-12-31,EU,1,0.164
2015-01-30,EU,1,0.14
2015-02-27,EU,1,0.095
2015-03-31,EU,1,0.08
2015-04-30,EU,1,0.0695
2015-05-29,EU,1,0.071
2015-06-30,EU,1,0.076
2015-07-31,EU,1,0.0535
2015-08-31,EU,1,0.047
2015-09-30,EU,1,0.024
2015-10-30,EU,1,-0.028
2015-11-30,EU,1,-0.101
2015-12-31,EU,1,-0.057
2016-01-29,EU,1,-0.154
2016-02-29,EU,1,-0.19
2016-03-31,EU,1,-0.147
2016-04-29,EU,1,-0.145
2016-05-31,EU,1,-0.161
2016-06-30,EU,1,-0.193
2016-07-29,EU,1,-0.201
2016-08-31,EU,1,-0.203
2016-09-30,EU,1,-0.207
2016-10-31,EU,1,-0.194
2016-11-30,EU,1,-0.199
2016-12-30,EU,1,-0.202
2017-01-31,EU,1,-0.218
2017-02-28,EU,1,-0.215
2017-03-31,EU,1,-0.2173
2017-04-28,EU,1,-0.228
2017-05-31,EU,1,-0.237
2017-06-30,EU,1,-0.2345
2017-07-31,EU,1,-0.2481
2017-08-31,EU,1,-0.26
2017-09-29,EU,1,-0.2555
2017-10-31,EU,1,-0.2658
2017-11-30,EU,1,-0.26
2017-12-29,EU,1,-0.2573
2018-01-31,EU,1,-0.2645
2018-02-28,EU,1,-0.2525
2018-03-30,EU,1,-0.2614
2018-04-30,EU,1,-0.2571
2018-05-31,EU,1,-0.231
2018-06-29,EU,1,-0.2538
2018-07-31,EU,1,-0.253
2018-08-31,EU,1,-0.2468
2018-09-28,EU,1,-0.2423
2018-10-31,EU,1,-0.2397
2018-11-30,EU,1,-0.24
2018-12-31,EU,1,-0.2322
2019-01-31,EU,1,-0.2237
2019-02-28,EU,1,-0.21
2019-03-29,EU,1,-0.2297
2019-04-30,EU,1,-0.2308
2019-05-31,EU,1,-0.2774
2019-06-28,EU,1,-0.363
2019-07-31,EU,1,-0.4209
2019-08-30,EU,1,-0.497
2019-09-30,EU,1,-0.4247
2019-10-31,EU,1,-0.361
2019-11-29,EU,1,-0.3455
2019-12-31,EU,1,-0.3212
2020-01-31,EU,1,-0.3661
2020-02-28,EU,1,-0.419
2020-03-31,EU,1,-0.3173
2020-04-30,EU,1,-0.273
2020-05-29,EU,1,-0.241
2020-06-30,EU,1,-0.355
2020-07-31,EU,1,-0.418
2020-08-31,EU,1,-0.442
2020-09-30,EU,1,-0.485
2020-10-30,EU,1,-0.5328
2020-11-30,EU,1,-0.517
2020-12-31,EU,1,-0.529
2021-01-29,EU,1,-0.541
2021-02-26,EU,1,-0.496
2021-03-31,EU,1,-0.5152
2021-04-30,EU,1,-0.5128
2021-05-31,EU,1,-0.5068
2021-06-30,EU,1,-0.5049
2021-07-30,EU,1,-0.5206
2021-08-31,EU,1,-0.5157
2021-09-30,EU,1,-0.5022
2021-10-29,EU,1,-0.4425
2021-11-30,EU,1,-0.4954
2021-12-31,EU,1,-0.484
2022-01-31,EU,1,-0.408
2022-02-28,EU,1,-0.361
2022-03-31,EU,1,-0.0874
2022-04-29,EU,1,0.261
2022-05-31,EU,1,0.4774
2022-06-30,EU,1,0.8446
2022-07-29,EU,1,0.957
2022-08-31,EU,1,1.845
2022-09-30,EU,1,2.486
2022-10-31,EU,1,2.6425
2022-11-30,EU,1,2.8011
2022-12-30,EU,1,3.2787
2010-01-29,JY,1,0.103
2010-02-26,JY,1,0.1015
2010-03-31,JY,1,0.099
2010-04-30,JY,1,0.1
2010-05-31,JY,1,0.098
2010-06-30,JY,1,0.085
2010-07-30,JY,1,0.086
2010-08-31,JY,1,0.071
2010-09-30,JY,1,0.07
2010-10-29,JY,1,0.0785
2010-11-30,JY,1,0.11
2010-12-31,JY,1,0.0975
2011-01-31,JY,1,0.09875
2011-02-28,JY,1,0.105
2011-03-31,JY,1,0.0825
2011-04-29,JY,1,0.0745
2011-05-31,JY,1,0.0775
2011-06-30,JY,1,0.0775
2011-07-29,JY,1,0.0775
2011-08-31,JY,1,0.0625
2011-09-30,JY,1,0.06
2011-10-31,JY,1,0.0675
2011-11-30,JY,1,0.05
2011-12-30,JY,1,0.05125
2012-01-31,JY,1,0.06375
2012-02-29,JY,1,0.0675
2012-03-30,JY,1,0.07375
2012-04-30,JY,1,0.07
2012-05-31,JY,1,0.065
2012-06-29,JY,1,0.065
2012-07-31,JY,1,0.06
2012-08-31,JY,1,0.0675
2012-09-28,JY,1,0.0675
2012-10-31,JY,1,0.0675
2012-11-30,JY,1,0.064
2012-12-31,JY,1,0.06
2013-01-31,JY,1,0.05875
2013-02-28,JY,1,0.05625
2013-03-29,JY,1,0.06125
2013-04-30,JY,1,0.0775
2013-05-31,JY,1,0.084
2013-06-28,JY,1,0.0863
2013-07-31,JY,1,0.08375
2013-08-30,JY,1,0.0788
2013-09-30,JY,1,0.0725
2013-10-31,JY,1,0.0713
2013-11-29,JY,1,0.0675
2013-12-31,JY,1,0.07
2014-01-31,JY,1,0.06875
2014-02-28,JY,1,0.065
2014-03-31,JY,1,0.061
2014-04-30,JY,1,0.0625
2014-05-30,JY,1,0.06125
2014-06-30,JY,1,0.06
2014-07-31,JY,1,0.056
2014-08-29,JY,1,0.05625
2014-09-30,JY,1,0.0594
2014-10-31,JY,1,0.046
2014-11-28,JY,1,0.05375
2014-12-31,JY,1,0.053
2015-01-30,JY,1,0.04625
2015-02-27,JY,1,0.05625
2015-03-31,JY,1,0.064
2015-04-30,JY,1,0.056
2015-05-29,JY,1,0.055
2015-06-30,JY,1,0.06
2015-07-31,JY,1,0.0631
2015-08-31,JY,1,0.06375
2015-09-30,JY,1,0.053
2015-10-30,JY,1,0.055
2015-11-30,JY,1,0.05
2015-12-31,JY,1,0.058
2016-01-29,JY,1,-0.05
2016-02-29,JY,1,-0.2156
2016-03-31,JY,1,-0.14
2016-04-29,JY,1,-0.185
2016-05-31,JY,1,-0.204
2016-06-30,JY,1,-0.2381
2016-07-29,JY,1,-0.1625
2016-08-31,JY,1,-0.172
2016-09-30,JY,1,-0.157
2016-10-31,JY,1,-0.0897
2016-11-30,JY,1,-0.069
2016-12-30,JY,1,-0.04836
2017-01-31,JY,1,-0.0325
2017-02-28,JY,1,-0.03375
2017-03-31,JY,1,-0.03192
2017-04-28,JY,1,-0.06
2017-05-31,JY,1,-0.05375
2017-06-30,JY,1,-0.0525
2017-07-31,JY,1,-0.055
2017-08-31,JY,1,-0.058
2017-09-29,JY,1,-0.057
2017-10-31,JY,1,-0.0325
2017-11-30,JY,1,-0.032
2017-12-29,JY,1,-0.032
2018-01-31,JY,1,-0.03
2018-02-28,JY,1,-0.0325
2018-03-30,JY,1,-0.03375
2018-04-30,JY,1,-0.0363
2018-05-31,JY,1,-0.0406
2018-06-29,JY,1,-0.04625
2018-07-31,JY,1,-0.05
2018-08-31,JY,1,-0.04
2018-09-28,JY,1,-0.038
2018-10-31,JY,1,-0.0375
2018-11-30,JY,1,-0.048
2018-12-31,JY,1,-0.05875
2019-01-31,JY,1,-0.07625
2019-02-28,JY,1,-0.079
2019-03-29,JY,1,-0.08
2019-04-30,JY,1,-0.0856
2019-05-31,JY,1,-0.09
2019-06-28,JY,1,-0.14625
2019-07-31,JY,1,-0.14385
2019-08-30,JY,1,-0.167
2019-09-30,JY,1,-0.17875
2019-10-31,JY,1,-0.14125
2019-11-29,JY,1,-0.0944
2019-12-31,JY,1,-0.059
2020-01-31,JY,1,-0.08125
2020-02-28,JY,1,-0.12875
2020-03-31,JY,1,-0.07
2020-04-30,JY,1,-0.1025
2020-05-29,JY,1,-0.08875
2020-06-30,JY,1,-0.07375
2020-07-31,JY,1,-0.0625
2020-08-31,JY,1,-0.055
2020-09-30,JY,1,-0.06625
2020-10-30,JY,1,-0.06
2020-11-30,JY,1,-0.05625
2020-12-31,JY,1,-0.0538
2021-01-29,JY,1,-0.05875
2021-02-26,JY,1,-0.04375
2021-03-31,JY,1,-0.035
2021-04-30,JY,1,-0.038
2021-05-31,JY,1,-0.04706
2021-06-30,JY,1,-0.0413
2021-07-30,JY,1,-0.055
2021-08-31,JY,1,-0.04875
2021-09-30,JY,1,-0.027
2021-10-29,JY,1,-0.02125
2021-11-30,JY,1,-0.04375
2021-12-31,JY,1,-0.0375
2022-01-31,JY,1,-0.0195
2022-02-28,JY,1,-0.00875
2022-03-31,JY,1,-0.0049
2022-04-29,JY,1,-0.01125
2022-05-31,JY,1,-0.015
2022-06-30,JY,1,0.00875
2022-07-29,JY,1,-0.00625
2022-08-31,JY,1,0.015
2022-09-30,JY,1,0.03464
2022-10-31,JY,1,0.02073
2022-11-30,JY,1,0.03708
2022-12-30,JY,1,0.09662
2010-01-29,NK,1,2.917
2010-02-26,NK,1,2.761
2010-03-31,NK,1,2.811
2010-04-30,NK,1,2.847
2010-05-31,NK,1,3.031
2010-06-30,NK,1,2.94
2010-07-30,NK,1,2.737
2010-08-31,NK,1,2.721
2010-09-30,NK,1,2.749
2010-10-29,NK,1,2.572
2010-11-30,NK,1,2.615
2010-12-31,NK,1,2.7625
2011-01-31,NK,1,2.855
2011-02-28,NK,1,2.992
2011-03-31,NK,1,3.062
2011-04-29,NK,1,3.086
2011-05-31,NK,1,3.1415
2011-06-30,NK,1,3.2745
2011-07-29,NK,1,3.178
2011-08-31,NK,1,3.0755
